# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
雨已经下起来了，咱们快点儿走吧。	Yǔ yǐjīng xià qǐlai le, zánmen kuài diǎnr zǒu ba.	It's started raining—let's hurry.
您来这里已经一年多了，习惯了吧？	Nín lái zhèlǐ yǐjīng yì nián duō le, xíguàn le ba?	You've been here over a year now—you must be used to it?
别的早就习惯了，就是天气我还不太习惯。	Biéde zǎo jiù xíguàn le, jiù shì tiānqì wǒ hái bú tài xíguàn.	I got used to everything else long ago—it's just the weather I'm still not quite used to.
为什么？您不喜欢这里的天气吗？	Wèishénme? Nín bù xǐhuan zhèlǐ de tiānqì ma?	Why? Don't you like the weather here?
我觉得冬天太冷了。	Wǒ juéde dōngtiān tài lěng le.	I find the winters too cold.
冬天虽然冷，但是下雪的时候特别漂亮。	Dōngtiān suīrán lěng, dànshì xià xuě de shíhou tèbié piàoliang.	Winter is cold, but it's especially beautiful when it snows.
我也喜欢雪。北京常常下雪，但听说今年就下了一次。	Wǒ yě xǐhuan xuě. Běijīng chángcháng xià xuě, dàn tīngshuō jīnnián jiù xià le yí cì.	I like snow too. It often snows in Beijing, but I hear it only snowed once this year.
我没关注过北京的天气，但是新闻里说过，今年冬天很多地方雪下得都少了。	Wǒ méi guānzhù guo Běijīng de tiānqì, dànshì xīnwén li shuōguo, jīnnián dōngtiān hěn duō dìfang xuě xià de dōu shǎo le.	I haven't followed Beijing's weather, but the news said that this winter many places had less snowfall.
我离开北京到这里工作一年多了。这一年多住下来，我还是更喜欢北京的四季。北京的春天最舒服，天气不冷不热，夏天白天很热，但是晚上比较凉快。秋天树上的叶子都变成了红色、黄色，非常漂亮。冬天不但冷，而且风很大，我最不喜欢冬天。每个人都有自己最喜欢的季节，你最喜欢哪个季节呢？	Wǒ líkāi Běijīng dào zhèlǐ gōngzuò yì nián duō le. Zhè yì nián duō zhù xiàlai, wǒ háishi gèng xǐhuan Běijīng de sìjì. Běijīng de chūntiān zuì shūfu, tiānqì bù lěng bú rè, xiàtiān báitiān hěn rè, dànshì wǎnshang bǐjiào liángkuai. Qiūtiān shù shàng de yèzi dōu biàn chéng le hóngsè, huángsè, fēicháng piàoliang. Dōngtiān búdàn lěng, érqiě fēng hěn dà, wǒ zuì bù xǐhuan dōngtiān. Měi ge rén dōu yǒu zìjǐ zuì xǐhuan de jìjié, nǐ zuì xǐhuan nǎge jìjié ne?	I left Beijing to work here over a year ago. After living here for over a year, I still prefer Beijing's four seasons. Beijing's spring is the most comfortable—neither cold nor hot; in summer the days are hot, but the evenings are fairly cool. In autumn the leaves turn red and yellow, very beautiful. Winter is not only cold but also very windy—I dislike winter most. Everyone has their own favorite season; which season do you like best?
今天我请客，你们想吃什么就点什么！	Jīntiān wǒ qǐngkè, nǐmen xiǎng chī shénme jiù diǎn shénme!	It's my treat today—order whatever you want to eat!
那我就不客气了。听说这家饭馆的鱼做得很特别？	Nà wǒ jiù bú kèqi le. Tīngshuō zhè jiā fànguǎn de yú zuò de hěn tèbié?	Then I won't be shy. I hear this restaurant's fish is made in a special way?
对，南方菜跟你们北方菜的做法不同。除了鱼，你们还想吃什么？	Duì, nánfāng cài gēn nǐmen běifāng cài de zuòfǎ bùtóng. Chúle yú, nǐmen hái xiǎng chī shénme?	Right, southern cuisine is prepared differently from your northern dishes. Besides fish, what else would you like?
我不常吃南方菜，还是你决定吧。	Wǒ bù cháng chī nánfāng cài, háishi nǐ juédìng ba.	I don't often eat southern food—you decide.
好，那再加一个鸡肉，一个……	Hǎo, nà zài jiā yí ge jīròu, yí ge……	Okay, then add a chicken dish, and one more…
咱们就三个人，别点那么多。	Zánmen jiù sān ge rén, bié diǎn nàme duō.	There are only three of us—don't order so much.
好，那先来这几个菜。	Hǎo, nà xiān lái zhè jǐ ge cài.	Okay, let's start with these few dishes.
对了，下周我儿子过生日，你们有时间的话，就来我家做客，我给你们做北京菜。	Duì le, xià zhōu wǒ érzi guò shēngrì, nǐmen yǒu shíjiān de huà, jiù lái wǒ jiā zuòkè, wǒ gěi nǐmen zuò Běijīng cài.	By the way, my son's birthday is next week—if you have time, come over to my place, and I'll cook you some Beijing dishes.
第一次请新邻居来做客，总是担心有什么没准备好。	Dì-yī cì qǐng xīn línjū lái zuòkè, zǒngshì dānxīn yǒu shénme méi zhǔnbèi hǎo.	It's the first time inviting the new neighbors over—I keep worrying something isn't ready.
放心吧，我都准备了，都已经准备好了。	Fàngxīn ba, wǒ dōu zhǔnbèi le, dōu yǐjīng zhǔnbèi hǎo le.	Relax—I've prepared everything; it's all ready.
我记得刚才已经把饮料拿出来了，怎么不见了？	Wǒ jìde gāngcái yǐjīng bǎ yǐnliào ná chūlai le, zěnme bú jiàn le?	I remember I took the drinks out just now—how come they're gone?
我把饮料和酒都放进冰箱里了，客人来了再拿出来。	Wǒ bǎ yǐnliào hé jiǔ dōu fàng jìn bīngxiāng li le, kèrén lái le zài ná chūlai.	I put the drinks and wine back in the fridge—I'll take them out when the guests arrive.
音乐的声音合适吗？	Yīnyuè de shēngyīn héshì ma?	Is the music volume okay?
你把声音开得太大了，我去关小一点儿。	Nǐ bǎ shēngyīn kāi de tài dà le, wǒ qù guān xiǎo yìdiǎnr.	You've got the volume too loud—I'll go turn it down a bit.
好，那我们就等客人来吧。	Hǎo, nà wǒmen jiù děng kèrén lái ba.	Okay, then let's wait for the guests to arrive.
谢谢你们来参加我儿子的生日晚会，希望大家今晚玩得开心。	Xièxie nǐmen lái cānjiā wǒ érzi de shēngrì wǎnhuì, xīwàng dàjiā jīnwǎn wán de kāixīn.	Thank you all for coming to my son's birthday party—I hope everyone has fun tonight.
小明，生日快乐！我准备了一个小礼物，希望你喜欢！	Xiǎomíng, shēngrì kuàilè! Wǒ zhǔnbèi le yí ge xiǎo lǐwù, xīwàng nǐ xǐhuan!	Xiaoming, happy birthday! I got you a little gift—I hope you like it!
谢谢您，我可以打开吗？	Xièxie nín, wǒ kěyǐ dǎkāi ma?	Thank you—may I open it?
当然可以，你妈妈说你跟姐姐一样，都喜欢画画，对吗？	Dāngrán kěyǐ, nǐ māma shuō nǐ gēn jiějie yíyàng, dōu xǐhuan huà huà, duì ma?	Of course. Your mom said you like drawing, just like your sister—right?
对，我想做一名画家。啊！画板和画笔，这正是我需要的。我太喜欢了。	Duì, wǒ xiǎng zuò yì míng huàjiā. À! Huàbǎn hé huàbǐ, zhè zhèng shì wǒ xūyào de. Wǒ tài xǐhuan le.	Yes, I want to be a painter. Oh! A drawing board and brushes—that's exactly what I need. I love it.
我去把盘子拿过来，咱们一边吃蛋糕、一边聊天儿吧。	Wǒ qù bǎ pánzi ná guòlai, zánmen yìbiān chī dàngāo, yìbiān liáotiānr ba.	I'll go get the plates—let's eat cake and chat.
我的新邻居是来自英国的夫妻。上周我去他们家做客了。他们做了很多好吃的，还准备了英国的红茶。那天我跟他们一边喝红茶，一边聊天儿，直到十二点多才回家。他们年轻的时候喜欢旅游，他家有一张世界地图，上面每一个红点都是他们去过的地方。后来，他们感到东方的文化很特别，就开始学习中文。今天是小明的生日，我请他们到我家玩，来看中国人的家，也尝尝中国菜。	Wǒ de xīn línjū shì láizì Yīngguó de fūqī. Shàng zhōu wǒ qù tāmen jiā zuòkè le. Tāmen zuò le hěn duō hǎochī de, hái zhǔnbèi le Yīngguó de hóngchá. Nà tiān wǒ gēn tāmen yìbiān hē hóngchá, yìbiān liáotiānr, zhídào shí'èr diǎn duō cái huí jiā. Tāmen niánqīng de shíhou xǐhuan lǚyóu, tā jiā yǒu yì zhāng shìjiè dìtú, shàngmiàn měi yí ge hóng diǎn dōu shì tāmen qùguo de dìfang. Hòulái, tāmen gǎndào dōngfāng de wénhuà hěn tèbié, jiù kāishǐ xuéxí Zhōngwén. Jīntiān shì Xiǎomíng de shēngrì, wǒ qǐng tāmen dào wǒ jiā wán, lái kàn Zhōngguórén de jiā, yě chángchang Zhōngguó cài.	My new neighbors are a couple from England. Last week I visited their home. They made lots of delicious food and prepared English black tea. That day I drank black tea and chatted with them until past twelve before going home. When they were young they liked to travel; they have a world map at home, and every red dot on it is a place they've been. Later, they felt Eastern culture was special and began learning Chinese. Today is Xiaoming's birthday, so I invited them to my home to play, to see a Chinese family's home and taste Chinese food.
我借的这本词典最好今天还，但是我没时间去。	Wǒ jiè de zhè běn cídiǎn zuìhǎo jīntiān huán, dànshì wǒ méi shíjiān qù.	This dictionary I borrowed should really be returned today, but I don't have time to go.
下午我只有两节课，可以帮你去图书馆还书。	Xiàwǔ wǒ zhǐ yǒu liǎng jié kè, kěyǐ bāng nǐ qù túshūguǎn huán shū.	I only have two classes this afternoon—I can return the book at the library for you.
那太谢谢了。你能再帮我借本书吗？	Nà tài xièxie le. Nǐ néng zài bāng wǒ jiè běn shū ma?	Thank you so much. Could you also borrow a book for me?
行，你告诉我书名。	Xíng, nǐ gàosu wǒ shūmíng.	Sure—tell me the title.
我把名字写在纸上吧。我去了好几次图书馆，这本书都被别人借走了。	Wǒ bǎ míngzi xiě zài zhǐ shàng ba. Wǒ qù le hǎojǐ cì túshūguǎn, zhè běn shū dōu bèi biéren jiè zǒu le.	I'll write the title on paper. I went to the library several times, but this book had always been borrowed by someone else.
《名人的故事》？我有这本书。明天我借给你吧。	"Míngrén de gùshi"? Wǒ yǒu zhè běn shū. Míngtiān wǒ jiè gěi nǐ ba.	"Stories of Famous People"? I have this book. I'll lend it to you tomorrow.
今天下课早，你一会儿做什么？	Jīntiān xiàkè zǎo, nǐ yíhuìr zuò shénme?	Class ended early today—what are you doing later?
我今天忙得很，要先去图书馆借书，然后去游泳。	Wǒ jīntiān máng de hěn, yào xiān qù túshūguǎn jiè shū, ránhòu qù yóuyǒng.	I'm really busy today—I need to borrow a book at the library first, then go swimming.
咱们一起走吧，我想去图书馆看看中文报纸。	Zánmen yìqǐ zǒu ba, wǒ xiǎng qù túshūguǎn kànkan Zhōngwén bàozhǐ.	Let's go together—I want to read Chinese newspapers at the library.
等等，我的校园卡不见了，没有卡进不去图书馆。	Děngdeng, wǒ de xiàoyuánkǎ bú jiàn le, méiyǒu kǎ jìn bú qù túshūguǎn.	Wait—my campus card is missing; without it I can't get into the library.
你想想上一次用是什么时候？	Nǐ xiǎngxiang shàng yí cì yòng shì shénme shíhou?	Think about when you last used it.
我忘记了，可能被我放在家里了。	Wǒ wàngjì le, kěnéng bèi wǒ fàng zài jiā li le.	I've forgotten—maybe I left it at home.
进不去图书馆也没关系，上网看看有没有电子书。	Jìn bú qù túshūguǎn yě méi guānxi, shàngwǎng kànkan yǒu méiyǒu diànzǐshū.	It's okay if you can't get into the library—check online for an e-book.
不行，我必须去，我还得帮李文还书呢。	Bù xíng, wǒ bìxū qù, wǒ hái děi bāng Lǐ Wén huán shū ne.	No, I have to go—I still need to return a book for Li Wen.
下周学校有晚会，你知道吗？	Xià zhōu xuéxiào yǒu wǎnhuì, nǐ zhīdào ma?	There's a school party next week—did you know?
知道，我和几个女生要表演一个节目。你也参加吗？	Zhīdào, wǒ hé jǐ ge nǚshēng yào biǎoyǎn yí ge jiémù. Nǐ yě cānjiā ma?	Yes—some other girls and I are going to perform an act. Are you taking part too?
我想唱中文歌，但是还没找到人一起表演，不知道怎么办。	Wǒ xiǎng chàng Zhōngwén gē, dànshì hái méi zhǎodào rén yìqǐ biǎoyǎn, bù zhīdào zěnme bàn.	I want to sing a Chinese song, but I haven't found anyone to perform with—I don't know what to do.
找不到人，你就一个人唱吧。	Zhǎobudào rén, nǐ jiù yí ge rén chàng ba.	If you can't find anyone, just sing solo.
一想到要在校长、老师和那么多同学面前表演，我就有些紧张。	Yì xiǎngdào yào zài xiàozhǎng, lǎoshī hé nàme duō tóngxué miànqián biǎoyǎn, wǒ jiù yǒuxiē jǐnzhāng.	Just thinking about performing in front of the principal, teachers, and so many classmates makes me a bit nervous.
紧张什么啊，我们都喜欢听你唱歌，你要相信自己。	Jǐnzhāng shénme a, wǒmen dōu xǐhuan tīng nǐ chànggē, nǐ yào xiāngxìn zìjǐ.	What's there to be nervous about? We all love hearing you sing—you have to believe in yourself.
昨天是我们学校的新年晚会，每个班级的同学都表演节目了。晚会是八点开始的，差不多十二点才结束。我一个晚上跟大家一起又唱又跳，开心极了，也累坏了。我最喜欢的节目是留学生们跳舞，最后老师和校长也被叫起来一块儿跳，特别有意思。过几天学校的网站上会有晚会的视频，我打算再看一遍。	Zuótiān shì wǒmen xuéxiào de xīnnián wǎnhuì, měi ge bānjí de tóngxué dōu biǎoyǎn jiémù le. Wǎnhuì shì bā diǎn kāishǐ de, chàbuduō shí'èr diǎn cái jiéshù. Wǒ yí ge wǎnshang gēn dàjiā yìqǐ yòu chàng yòu tiào, kāixīn jí le, yě lèihuài le. Wǒ zuì xǐhuan de jiémù shì liúxuéshēngmen tiàowǔ, zuìhòu lǎoshī hé xiàozhǎng yě bèi jiào qǐlai yíkuàir tiào, tèbié yǒu yìsi. Guò jǐ tiān xuéxiào de wǎngzhàn shàng huì yǒu wǎnhuì de shìpín, wǒ dǎsuàn zài kàn yí biàn.	Yesterday was our school's New Year party, and students from every class performed. The party started at eight and didn't end until nearly twelve. I sang and danced with everyone all evening—I was thrilled, and also worn out. My favorite act was the international students' dance; at the end, the teachers and principal were even pulled up to dance too, which was really fun. In a few days there'll be a video of the party on the school website, and I plan to watch it again.
您搬到蓝天小区一段时间了，觉得怎么样？	Nín bān dào Lántiān Xiǎoqū yí duàn shíjiān le, juéde zěnmeyàng?	You've lived in Lantian residential complex for a while now—how do you find it?
小区环境挺好的，附近买东西也很方便，过马路就是超市。	Xiǎoqū huánjìng tǐng hǎo de, fùjìn mǎi dōngxi yě hěn fāngbiàn, guò mǎlù jiù shì chāoshì.	The complex has a nice environment, and shopping nearby is convenient—cross the street and there's a supermarket.
